Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,19/08/95,Aston Villa,Manchester United,3,1,H,3,0,H
E0,19/08/95,Blackburn Rovers,Queens Park Rangers,1,0,H,1,0,H
E0,19/08/95,Chelsea,Everton,0,0,D,0,0,D
E0,19/08/95,Liverpool,Sheffield Weds,1,0,H,0,0,D
E0,19/08/95,Manchester City,Tottenham Hotspur,1,1,D,0,1,A
E0,19/08/95,Newcastle United,Coventry,3,0,H,1,0,H
E0,19/08/95,Southampton,Nott'm Forest,3,4,A,1,3,A
E0,19/08/95,West Ham United,Leeds United,1,2,A,1,0,H
E0,19/08/95,Wimbledon,Bolton Wanderers,3,2,H,2,2,D
E0,20/08/95,Arsenal,Middlesbrough,1,1,D,1,1,D
E0,21/08/95,Leeds United,Liverpool,1,0,H,0,0,D
E0,22/08/95,Bolton Wanderers,Newcastle United,1,3,A,0,1,A
E0,23/08/95,Coventry,Manchester City,2,1,H,1,0,H
E0,23/08/95,Everton,Arsenal,0,2,A,0,0,D
E0,23/08/95,Manchester United,West Ham United,2,1,H,0,0,D
E0,23/08/95,Nott'm Forest,Chelsea,0,0,D,0,0,D
E0,23/08/95,Queens Park Rangers,Wimbledon,0,3,A,0,1,A
E0,23/08/95,Sheffield Weds,Blackburn Rovers,2,1,H,1,0,H
E0,23/08/95,Tottenham Hotspur,Aston Villa,0,1,A,0,0,D
E0,26/08/95,Bolton Wanderers,Blackburn Rovers,2,1,H,1,0,H
E0,26/08/95,Coventry,Arsenal,0,0,D,0,0,D
E0,26/08/95,Everton,Southampton,2,0,H,2,0,H
E0,26/08/95,Leeds United,Aston Villa,2,0,H,1,0,H
E0,26/08/95,Manchester United,Wimbledon,3,1,H,1,0,H
E0,26/08/95,Middlesbrough,Chelsea,2,0,H,1,0,H
E0,26/08/95,Nott'm Forest,West Ham United,1,1,D,1,1,D
E0,26/08/95,Queens Park Rangers,Manchester City,1,0,H,1,0,H
E0,26/08/95,Tottenham Hotspur,Liverpool,1,3,A,0,2,A
E0,27/08/95,Sheffield Weds,Newcastle United,0,2,A,0,0,D
E0,28/08/95,Blackburn Rovers,Manchester United,1,2,A,0,0,D
E0,29/08/95,Arsenal,Nott'm Forest,1,1,D,1,0,H
E0,30/08/95,Aston Villa,Bolton Wanderers,1,0,H,0,0,D
E0,30/08/95,Chelsea,Coventry,2,2,D,2,1,H
E0,30/08/95,Liverpool,Queens Park Rangers,1,0,H,1,0,H
E0,30/08/95,Manchester City,Everton,0,2,A,0,0,D
E0,30/08/95,Newcastle United,Middlesbrough,1,0,H,0,0,D
E0,30/08/95,Southampton,Leeds United,1,1,D,0,0,D
E0,30/08/95,West Ham United,Tottenham Hotspur,1,1,D,1,0,H
E0,30/08/95,Wimbledon,Sheffield Weds,2,2,D,1,1,D
E0,09/09/95,Blackburn Rovers,Aston Villa,1,1,D,0,1,A
E0,09/09/95,Bolton Wanderers,Middlesbrough,1,1,D,1,0,H
E0,09/09/95,Coventry,Nott'm Forest,1,1,D,1,1,D
E0,09/09/95,Everton,Manchester United,2,3,A,1,1,D
E0,09/09/95,Queens Park Rangers,Sheffield Weds,0,3,A,0,0,D
E0,09/09/95,Southampton,Newcastle United,1,0,H,0,0,D
E0,09/09/95,Tottenham Hotspur,Leeds United,2,1,H,1,0,H
E0,09/09/95,Wimbledon,Liverpool,1,0,H,1,0,H
E0,10/09/95,Manchester City,Arsenal,0,1,A,0,0,D
E0,11/09/95,West Ham United,Chelsea,1,3,A,0,2,A
E0,12/09/95,Middlesbrough,Southampton,0,0,D,0,0,D
E0,16/09/95,Arsenal,West Ham United,1,0,H,0,0,D
E0,16/09/95,Aston Villa,Wimbledon,2,0,H,1,0,H
E0,16/09/95,Chelsea,Southampton,3,0,H,0,0,D
E0,16/09/95,Leeds United,Queens Park Rangers,1,3,A,0,2,A
E0,16/09/95,Liverpool,Blackburn Rovers,3,0,H,3,0,H
E0,16/09/95,Manchester United,Bolton Wanderers,3,0,H,2,0,H
E0,16/09/95,Middlesbrough,Coventry,2,1,H,0,0,D
E0,16/09/95,Newcastle United,Manchester City,3,1,H,2,0,H
E0,16/09/95,Sheffield Weds,Tottenham Hotspur,1,3,A,1,1,D
E0,17/09/95,Nott'm Forest,Everton,3,2,H,2,0,H
E0,23/09/95,Arsenal,Southampton,4,2,H,2,2,D
E0,23/09/95,Aston Villa,Nott'm Forest,1,1,D,0,0,D
