Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,AFC Bournemouth,Lincoln,2,0,H,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,Burnley,Bristol Rvs,2,1,H,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,Colchester,Chesterfield,1,0,H,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,Gillingham,Walsall,0,1,A,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,Macclesfield,Fulham,0,1,A,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,Manchester City,Blackpool,3,0,H,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,Northampton,Stoke City,1,3,A,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,Oldham,Notts County,1,3,A,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,Preston,York,3,0,H,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,Wigan Athletic,Millwall,0,1,A,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,Wrexham,Reading,3,0,H,,,,,,,,,,,,,,,,,,,,,
E2,08/08/98,Wycombe,Luton,0,1,A,,,,,,,,,,,,,,,,,,,,,
E2,14/08/98,Fulham,Manchester City,3,0,H,,,,,,,,,,,,,,,,,,,,,
E2,15/08/98,Blackpool,Oldham,3,0,H,,,,,,,,,,,,,,,,,,,,,
E2,15/08/98,Bristol Rvs,Reading,4,1,H,,,,,,,,,,,,,,,,,,,,,
E2,15/08/98,Chesterfield,Burnley,1,0,H,,,,,,,,,,,,,,,,,,,,,
E2,15/08/98,Lincoln,Wigan Athletic,1,0,H,,,,,,,,,,,,,,,,,,,,,
E2,15/08/98,Luton,Preston,1,1,D,,,,,,,,,,,,,,,,,,,,,
E2,15/08/98,Millwall,Wycombe,2,1,H,,,,,,,,,,,,,,,,,,,,,
E2,15/08/98,Notts County,AFC Bournemouth,1,2,A,,,,,,,,,,,,,,,,,,,,,
E2,15/08/98,Stoke City,Macclesfield,2,0,H,,,,,,,,,,,,,,,,,,,,,
E2,15/08/98,Walsall,Northampton,0,0,D,,,,,,,,,,,,,,,,,,,,,
E2,15/08/98,Wrexham,Colchester,2,4,A,,,,,,,,,,,,,,,,,,,,,
E2,15/08/98,York,Gillingham,1,1,D,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,AFC Bournemouth,Millwall,3,0,H,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,Burnley,York,0,1,A,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,Colchester,Fulham,0,1,A,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,Gillingham,Bristol Rvs,0,0,D,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,Macclesfield,Lincoln,0,0,D,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,Manchester City,Wrexham,0,0,D,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,Northampton,Notts County,1,1,D,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,Oldham,Chesterfield,2,0,H,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,Preston,Stoke City,3,4,A,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,Reading,Luton,3,0,H,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,Wigan Athletic,Blackpool,3,0,H,,,,,,,,,,,,,,,,,,,,,
E2,22/08/98,Wycombe,Walsall,1,2,A,,,,,,,,,,,,,,,,,,,,,
E2,29/08/98,Blackpool,Gillingham,2,2,D,,,,,,,,,,,,,,,,,,,,,
E2,29/08/98,Bristol Rvs,Wigan Athletic,3,2,H,,,,,,,,,,,,,,,,,,,,,
E2,29/08/98,Chesterfield,Reading,1,0,H,,,,,,,,,,,,,,,,,,,,,
E2,29/08/98,Fulham,AFC Bournemouth,0,0,D,,,,,,,,,,,,,,,,,,,,,
E2,29/08/98,Lincoln,Preston,3,4,A,,,,,,,,,,,,,,,,,,,,,
E2,29/08/98,Luton,Colchester,2,0,H,,,,,,,,,,,,,,,,,,,,,
E2,29/08/98,Millwall,Macclesfield,0,0,D,,,,,,,,,,,,,,,,,,,,,
E2,29/08/98,Notts County,Manchester City,1,1,D,,,,,,,,,,,,,,,,,,,,,
E2,29/08/98,Stoke City,Oldham,2,0,H,,,,,,,,,,,,,,,,,,,,,
E2,29/08/98,Walsall,Burnley,3,1,H,,,,,,,,,,,,,,,,,,,,,
E2,29/08/98,Wrexham,Northampton,1,0,H,,,,,,,,,,,,,,,,,,,,,
