Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,07/08/93,Bayern Munich,SC Freiburg,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,07/08/93,Borussia Dortmund,Karlsruher SC,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,07/08/93,MSV Duisburg,Bayer Leverkusen,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,07/08/93,FC Cologne,Kaiserslautern,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,07/08/93,Hamburg SV,Nurnberg,5,2,H,,,,,,,,,,,,,,,,,,,,,
D1,07/08/93,Leipzig,Dresden,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,07/08/93,Borussia Monchengladbach,Eintracht Frankfurt,0,4,A,,,,,,,,,,,,,,,,,,,,,
D1,07/08/93,Wattenscheid,Schalke 04,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,07/08/93,Werder Bremen,VfB Stuttgart,5,1,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/93,Dresden,MSV Duisburg,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,14/08/93,Eintracht Frankfurt,Werder Bremen,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,14/08/93,SC Freiburg,Wattenscheid,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/93,Kaiserslautern,Borussia Monchengladbach,4,2,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/93,Karlsruher SC,Hamburg SV,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/93,Bayer Leverkusen,Bayern Munich,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/93,Nurnberg,FC Cologne,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/93,Schalke 04,Borussia Dortmund,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,14/08/93,VfB Stuttgart,Leipzig,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,21/08/93,Bayern Munich,Dresden,5,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/93,Borussia Dortmund,SC Freiburg,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/93,MSV Duisburg,VfB Stuttgart,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,21/08/93,Eintracht Frankfurt,Kaiserslautern,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/93,FC Cologne,Karlsruher SC,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/93,Hamburg SV,Schalke 04,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/93,Borussia Monchengladbach,Nurnberg,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/08/93,Wattenscheid,Bayer Leverkusen,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,21/08/93,Werder Bremen,Leipzig,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,28/08/93,Dresden,Wattenscheid,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,28/08/93,SC Freiburg,Hamburg SV,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,28/08/93,Kaiserslautern,Werder Bremen,2,3,A,,,,,,,,,,,,,,,,,,,,,
D1,28/08/93,Karlsruher SC,Borussia Monchengladbach,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,28/08/93,Leipzig,MSV Duisburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,28/08/93,Bayer Leverkusen,Borussia Dortmund,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,28/08/93,Nurnberg,Eintracht Frankfurt,1,5,A,,,,,,,,,,,,,,,,,,,,,
D1,28/08/93,Schalke 04,FC Cologne,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,28/08/93,VfB Stuttgart,Bayern Munich,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,01/09/93,Bayern Munich,Leipzig,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/93,Borussia Dortmund,Dresden,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/93,Eintracht Frankfurt,Karlsruher SC,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/93,FC Cologne,SC Freiburg,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/93,Hamburg SV,Bayer Leverkusen,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/93,Kaiserslautern,Nurnberg,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/93,Borussia Monchengladbach,Schalke 04,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,01/09/93,Wattenscheid,VfB Stuttgart,2,4,A,,,,,,,,,,,,,,,,,,,,,
D1,01/09/93,Werder Bremen,MSV Duisburg,1,5,A,,,,,,,,,,,,,,,,,,,,,
D1,04/09/93,Dresden,Hamburg SV,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,04/09/93,MSV Duisburg,Bayern Munich,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,04/09/93,SC Freiburg,Borussia Monchengladbach,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,04/09/93,Karlsruher SC,Kaiserslautern,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,04/09/93,Leipzig,Wattenscheid,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,04/09/93,Bayer Leverkusen,FC Cologne,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,04/09/93,Nurnberg,Werder Bremen,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,04/09/93,Schalke 04,Eintracht Frankfurt,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,04/09/93,VfB Stuttgart,Borussia Dortmund,2,2,D,,,,,,,,,,,,,,,,,,,,,
