Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D2,25/07/97,Eintracht Frankfurt,Dusseldorf,3,2,H,1,1,D,,,,,,,,,,,
D2,26/07/97,CZ Jena,Wattenscheid,1,1,D,0,1,A,,,,,,,,,,,
D2,26/07/97,Meppen,Zwickau,2,1,H,2,0,H,,,,,,,,,,,
D2,27/07/97,SC Freiburg,Energie Cottbus,2,0,H,0,0,D,,,,,,,,,,,
D2,27/07/97,SpVgg Greuther Fürth,St Pauli,0,0,D,0,0,D,,,,,,,,,,,
D2,27/07/97,Gutersloh,Nurnberg,4,2,H,1,0,H,,,,,,,,,,,
D2,27/07/97,Leipzig,VfB Stuttgarter K,3,1,H,1,1,D,,,,,,,,,,,
D2,27/07/97,Uerdingen,F Koln,2,0,H,2,0,H,,,,,,,,,,,
D2,27/07/97,Unterhaching,Mainz,3,2,H,3,0,H,,,,,,,,,,,
D2,01/08/97,Dusseldorf,Uerdingen,1,1,D,0,0,D,,,,,,,,,,,
D2,01/08/97,F Koln,Meppen,2,2,D,1,1,D,,,,,,,,,,,
D2,01/08/97,St Pauli,Gutersloh,0,0,D,0,0,D,,,,,,,,,,,
D2,03/08/97,Energie Cottbus,Leipzig,1,1,D,1,1,D,,,,,,,,,,,
D2,03/08/97,Mainz,SpVgg Greuther Fürth,4,1,H,4,0,H,,,,,,,,,,,
D2,03/08/97,VfB Stuttgarter K,CZ Jena,2,1,H,1,1,D,,,,,,,,,,,
D2,03/08/97,Wattenscheid,Eintracht Frankfurt,0,1,A,0,1,A,,,,,,,,,,,
D2,03/08/97,Zwickau,Unterhaching,0,4,A,0,2,A,,,,,,,,,,,
D2,04/08/97,Nurnberg,SC Freiburg,4,1,H,1,1,D,,,,,,,,,,,
D2,08/08/97,Meppen,Dusseldorf,2,2,D,1,1,D,,,,,,,,,,,
D2,08/08/97,Uerdingen,Wattenscheid,2,1,H,2,1,H,,,,,,,,,,,
D2,08/08/97,Unterhaching,F Koln,0,1,A,0,0,D,,,,,,,,,,,
D2,10/08/97,CZ Jena,Energie Cottbus,0,3,A,0,2,A,,,,,,,,,,,
