Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,,,,,,,
SP1,30/08/03,Albacete,Osasuna,0,2,A,0,1,A,2.3,3,3,2.35,3.1,2.9,2,3.1,3.2,2.2,3,3,2.3,3,2.88,2.3,3,2.87,2.2,3.1,2.87,2,1.71,2,1.72,2.05,1.75,-0.25,2.05,1.8,-0.25,2.05,1.85,-0.25,,,,,,,
SP1,30/08/03,Athletic Bilbao,Barcelona,0,1,A,0,1,A,2.6,3.2,2.5,2.75,3.15,2.4,2.9,3,2.2,2.375,3.2,2.6,2.6,3.2,2.4,2.6,3.2,2.4,2.6,3.1,2.4,1.71,2,1.8,1.9,1.77,2.05,0.25,1.75,2.1,0.25,1.8,2.1,0.25,,,,,,,
SP1,30/08/03,Espanyol,Real Sociedad,1,1,D,1,0,H,2.6,3.2,2.5,2.55,3.1,2.6,2.8,2.9,2.3,2.6,3.2,2.375,2.6,3,2.5,2.6,3,2.5,2.37,3.1,2.62,1.75,1.95,1.8,1.9,1.85,1.95,0,1.9,1.95,0,1.85,2.05,0,,,,,,,
SP1,30/08/03,Málaga,Villarreal,0,0,D,0,0,D,2.3,3.2,2.875,2.3,3.1,3,2.3,2.9,2.8,2.25,3.2,2.75,2.38,3.1,2.7,2.37,3.1,2.7,2.2,3,3,2,1.71,1.9,1.8,2,1.8,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25,,,,,,,
SP1,30/08/03,Real Madrid,Real Betis,2,1,H,1,1,D,1.364,4.333,7.5,1.35,4.35,8,1.45,3.8,5.4,1.4,3.75,7,1.3,4.5,8,1.3,4.5,8,1.36,3.75,8,1.5,2.35,1.61,2.2,1.9,1.9,-1.5,1.95,1.9,-1.5,1.975,1.925,-1.5,,,,,,,
SP1,30/08/03,Valencia,Real Valladolid,1,1,D,0,1,A,1.4,3.75,8.5,1.45,3.8,7,1.5,3.7,5,1.444,3.6,6.5,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.75,7,1.95,1.75,1.9,1.8,1.85,1.95,-1.25,1.95,1.9,-1.25,2.025,1.875,-1.25,,,,,,,
SP1,31/08/03,Celta Vigo,Murcia,1,1,D,1,0,H,1.444,3.6,8,1.45,3.8,7,1.45,3.8,5.4,1.444,3.6,6.5,1.44,3.6,7,1.44,3.6,7,1.44,3.3,7.5,1.79,1.9,1.83,1.83,1.8,2,-1.25,1.85,2,-1.25,1.875,2.025,-1.25,,,,,,,
SP1,31/08/03,Racing Santander,Mallorca,2,1,H,1,0,H,2.375,3.2,2.75,2.38,3.15,2.75,2.3,2.9,2.8,2.375,3.2,2.6,2.4,3.2,2.6,2.4,3.2,2.6,2.3,3.2,2.62,1.95,1.75,1.83,1.83,2.05,1.77,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25,,,,,,,
SP1,31/08/03,Sevilla FC,Atletico Madrid,1,0,H,1,0,H,2.2,3.2,3,2.25,3.1,3.05,2.1,2.9,3.2,2.25,3.2,2.75,2.25,3.1,2.88,2.25,3.1,2.87,2.25,3.1,2.8,2.05,1.65,1.9,1.8,1.95,1.85,-0.25,1.95,1.9,-0.25,1.9,2,-0.25,,,,,,,
SP1,31/08/03,Real Zaragoza,Deportivo La Coruña,0,1,A,0,0,D,3,3.2,2.2,2.9,3.25,2.25,2.8,2.9,2.3,2.8,3.2,2.2,2.88,3.2,2.2,2.87,3.2,2.2,2.62,3.1,2.37,1.85,1.85,1.8,1.9,1.9,1.9,0.25,1.9,1.95,0.25,1.95,1.95,0.25,,,,,,,
SP1,02/09/03,Osasuna,Valencia,0,1,A,0,0,D,2.87,3.2,2.3,2.85,3.2,2.32,2.8,2.9,2.3,2.75,3.2,2.25,2.88,3.2,2.2,2.87,3.1,2.25,2.87,3.1,2.2,1.95,1.66,2.1,1.66,1.75,2.08,0.25,1.75,2.1,0.25,2,1.9,-0.75,,,,,,,
SP1,02/09/03,Real Sociedad,Celta Vigo,1,1,D,1,0,H,1.9,3.25,3.75,1.9,3.3,3.7,1.9,3.1,3.5,1.8,3.25,3.75,1.91,3.2,3.6,1.9,3.2,3.6,1.9,3.2,3.5,1.74,1.85,1.83,1.83,1.9,1.9,-0.5,1.95,1.9,-0.5,1.95,1.95,-0.5,,,,,,,
SP1,02/09/03,Villarreal,Real Madrid,1,1,D,0,0,D,4,3.4,1.8,4.25,3.4,1.81,3.6,3.1,1.85,4.333,3.2,1.727,4,3.4,1.73,4,3.4,1.75,3.75,3.3,1.8,1.66,1.95,1.72,2,1.7,2.05,0.75,1.95,1.9,0.5,1.975,1.925,0.5,,,,,,,
SP1,03/09/03,Atletico Madrid,Albacete,1,0,H,0,0,D,1.53,3.4,6.5,1.45,3.75,7,1.45,3.6,5.8,1.444,3.6,6.5,1.44,3.75,6.5,1.44,3.75,6.5,1.44,3.6,6.5,1.74,1.85,1.8,1.9,1.85,1.95,-1.25,1.95,1.9,-1.25,1.975,1.925,-1.25,,,,,,,
SP1,03/09/03,Barcelona,Sevilla FC,1,1,D,0,1,A,1.57,3.4,6,1.53,3.65,5.75,1.5,3.7,5,1.571,3.5,5,1.44,3.75,6.5,1.44,3.75,6.5,1.5,3.6,5.5,1.75,1.9,1.8,1.9,2,1.8,-1,1.85,2,-0.75,1.9,2,-0.75,,,,,,,
SP1,03/09/03,Real Betis,Espanyol,2,2,D,2,0,H,1.72,3.25,4.75,1.7,3.4,4.6,1.8,3.1,3.8,1.667,3.25,4.5,1.73,3.2,4.5,1.72,3.2,4.5,1.66,3.3,4.5,1.85,1.74,2,1.72,1.95,1.85,-0.75,1.9,1.95,-0.75,1.95,1.95,-0.75,,,,,,,
SP1,03/09/03,Deportivo La Coruña,Athletic Bilbao,2,0,H,1,0,H,1.57,3.4,6,1.5,3.75,6,1.5,3.5,5.4,1.571,3.25,5.5,1.5,3.5,6,1.5,3.5,6,1.5,3.4,6,1.7,1.9,1.8,1.9,2,1.8,-1,2.05,1.8,-1,1.8,2.1,-0.75,,,,,,,
SP1,03/09/03,Mallorca,Real Zaragoza,2,0,H,1,0,H,1.72,3.4,4.5,1.75,3.4,4.25,1.8,3.1,3.8,1.727,3.2,4.333,1.67,3.4,4.5,1.66,3.4,4.5,1.72,3.4,4,1.74,1.85,1.9,1.8,2,1.8,-0.75,2.05,1.8,-0.75,2.025,1.875,-0.75,,,,,,,
SP1,03/09/03,Murcia,Racing Santander,1,1,D,1,1,D,2.25,3.2,2.9,2.15,3.2,3.1,2,3,3.3,2.1,3.2,3,2.25,3.2,2.8,2.25,3.2,2.8,2,3.2,3.2,1.9,1.7,1.9,1.8,1.85,1.95,-0.25,1.95,1.9,-0.25,1.875,2.025,-0.25,,,,,,,
SP1,03/09/03,Real Valladolid,Málaga,1,0,H,1,0,H,1.9,3.25,3.75,1.95,3.25,3.6,1.9,3,3.6,2,3.2,3.2,1.91,3.2,3.6,1.9,3.2,3.6,1.9,3.2,3.5,1.9,1.7,2.1,1.66,1.95,1.85,-0.5,2,1.85,-0.5,1.975,1.925,-0.5,,,,,,,
SP1,13/09/03,Celta Vigo,Real Betis,0,2,A,0,1,A,1.8,3.2,4.33,1.85,3.2,4.1,1.85,3.1,3.6,1.8,3.2,4,1.91,3.25,3.5,1.9,3.2,3.6,1.8,3.1,4,1.9,1.7,1.83,1.83,1.85,1.95,-0.5,1.95,1.9,-0.5,1.9,2,-0.5,,,,,,,
SP1,13/09/03,Real Madrid,Real Valladolid,7,2,H,3,0,H,1.28,4.5,10,1.28,4.75,9.5,1.3,4.2,8,1.333,4,8,1.25,4.5,10,1.25,4.75,10,1.25,4.5,10,1.51,2.2,1.61,2.2,1.8,2,-1.5,1.8,2.05,-1.5,1.875,2.025,-1.5,,,,,,,
