Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
E1,04/08/17,Nott'm Forest,Millwall,1,0,H,1,0,H,P Bankes,11,23,2,6,13,15,5,4,0,1,0,0,2,3.6,4,1.9,3.5,3.9,1.95,3.35,3.7,2.05,3.4,3.9,2.06,3.48,3.96,2,3.3,3.8,2.05,3.6,3.9,41,2.1,2.01,3.6,3.42,4.2,3.8,39,2.13,2.04,1.84,1.76,20,-0.5,2.06,2.01,1.9,1.86,1.98,3.5,4.25
E1,04/08/17,Sunderland,Derby,1,1,D,1,1,D,O Langford,20,11,4,4,12,11,6,7,1,0,0,0,2.7,3.25,2.88,2.65,3.1,2.85,2.55,3.1,2.75,2.65,3.2,2.9,2.68,3.26,2.9,2.62,3.1,2.8,2.63,3.25,2.9,41,2.75,2.61,3.35,3.16,2.95,2.84,39,2.29,2.2,1.75,1.66,19,0,1.91,1.84,2.07,2.02,2.77,3.16,2.84
E1,05/08/17,Aston Villa,Hull,1,1,D,1,0,H,A Madley,12,14,5,5,13,11,5,3,2,0,0,0,2.1,3.4,4,2.05,3.2,3.7,2,3.2,3.75,2.05,3.1,3.7,2.09,3.39,3.97,2,3.4,3.8,2.1,3.4,4,41,2.1,2.05,3.4,3.3,4.06,3.78,35,2.41,2.28,1.65,1.6,18,-0.5,2.09,2.05,1.85,1.82,1.96,3.39,4.64
E1,05/08/17,Bristol City,Barnsley,3,1,H,3,0,H,A Davies,20,10,11,5,14,9,3,2,1,2,0,0,1.83,3.75,4.75,1.83,3.5,4.2,1.8,3.6,4.15,1.8,3.6,4.2,1.85,3.81,4.51,1.83,3.5,4.33,1.87,3.75,4.5,41,1.87,1.83,3.81,3.65,4.75,4.26,39,1.85,1.78,2.08,2.01,18,-0.5,1.85,1.82,2.11,2.05,1.61,4.18,6.3
E1,05/08/17,Burton,Cardiff,0,1,A,0,0,D,G Eltringham,3,16,0,6,13,15,4,6,1,0,0,0,3.1,3.3,2.5,2.8,3.25,2.45,2.95,3.1,2.4,3,3.1,2.4,3.15,3.26,2.49,3,3.1,2.5,3.13,3.3,2.5,41,3.15,3.02,3.3,3.17,2.6,2.44,35,2.31,2.24,1.67,1.62,17,0.25,1.84,1.79,2.13,2.08,3.26,3.27,2.45
E1,05/08/17,Fulham,Norwich,1,1,D,1,0,H,J Linington,16,19,3,5,12,10,7,1,3,2,0,0,2.05,3.75,3.75,2,3.4,3.6,2,3.55,3.4,2,3.6,3.4,2.05,3.81,3.64,2.05,3.5,3.5,2.1,3.7,3.6,41,2.1,2.03,3.81,3.6,3.75,3.51,39,1.8,1.69,2.28,2.13,18,-0.5,2.08,2.02,1.88,1.84,2.04,3.84,3.71
E1,05/08/17,Ipswich,Birmingham,1,0,H,0,0,D,T Robinson,12,12,2,3,11,14,8,2,1,1,0,0,2.5,3.4,3,2.3,3.2,3.1,2.35,3.1,2.95,2.4,3.1,3,2.47,3.3,3.16,2.4,3.1,3.1,2.45,3.4,3.1,41,2.55,2.44,3.4,3.19,3.16,3.02,36,2.27,2.18,1.72,1.65,17,-0.25,2.12,2.08,1.83,1.79,2.75,3.16,2.94
E1,05/08/17,Preston,Sheffield Weds,1,0,H,0,0,D,T Harrington,11,6,3,1,17,18,6,3,2,3,0,0,3,3.2,2.63,2.95,3.25,2.35,2.85,3.1,2.45,2.9,3.1,2.5,3.01,3.3,2.57,2.8,3.1,2.62,3,3.3,2.55,41,3.1,2.92,3.3,3.18,2.63,2.5,35,2.23,2.16,1.73,1.66,16,0,2.12,2.07,1.84,1.8,2.97,3.22,2.68
E1,05/08/17,QPR,Reading,2,0,H,1,0,H,S Duncan,11,4,4,2,17,12,10,1,1,2,0,1,2.5,3.4,3,2.4,3.2,2.95,2.35,3.2,2.9,2.37,3.25,3,2.48,3.41,3.04,2.5,3.2,2.9,2.45,3.4,3.1,41,2.55,2.42,3.41,3.28,3.1,2.96,38,2.05,1.99,1.88,1.79,18,-0.25,2.11,2.06,1.86,1.81,2.39,3.4,3.25
E1,05/08/17,Sheffield United,Brentford,1,0,H,1,0,H,S Martin,9,12,2,5,6,9,6,3,0,0,0,0,2.2,4,3.1,2.1,3.4,3.3,2.1,3.5,3.15,2.15,3.3,3.3,2.17,3.71,3.4,2.2,3.3,3.3,2.2,3.6,3.4,41,2.25,2.15,4,3.53,3.4,3.25,39,1.85,1.74,2.19,2.05,17,-0.25,1.91,1.87,2.04,1.99,2.34,3.64,3.14
