team,GP,W,D,L,F,A,GD,P
Bastia,38,21,8,9,61,36,25,71
Stade de Reims,38,18,11,9,54,37,17,65
Troyes,38,17,13,8,45,35,10,64
Sedan,38,15,14,9,56,45,11,59
Clermont FootC,38,15,13,10,48,39,9,58
ToursT,38,15,11,12,44,43,1,56
Guingamp,38,15,10,13,46,43,3,55
AS Monaco,38,13,13,12,41,48,-7,52
Nantes,38,14,9,15,51,42,9,51
FC Istres,38,13,12,13,46,44,2,51
Angers,38,13,12,13,44,45,-1,51
Lens,38,12,12,14,42,48,-6,48
Arles,38,10,18,10,34,41,-7,48
ChateaurouxC,38,14,6,18,38,54,-16,48
Le Havre AC,38,11,14,13,38,34,4,47
Stade LavalS,38,12,11,15,46,50,-4,47
Le Mans,38,11,12,15,39,40,-1,45
Metz,38,10,12,16,30,44,-14,42
Boulogne,38,7,15,16,40,47,-7,36
SC Amiens,38,4,14,20,29,57,-28,26
