team,GP,W,D,L,F,A,GD,P
Empoli,25,13,7,5,54,34,20,46
Frosinone,25,12,10,3,46,29,17,46
Palermo,25,11,10,4,33,23,10,43
CittadellaC,25,11,5,9,39,32,7,38
Bari,25,11,5,9,36,34,2,38
Parma,25,10,7,8,32,21,11,37
Cremonese,25,8,13,4,33,25,8,37
Venezia FC,25,8,12,5,29,24,5,36
Carpi,25,9,9,7,23,27,-4,36
SpeziaS,25,9,8,8,25,23,2,35
US Pescara,25,9,7,9,35,42,-7,34
Perugia,25,8,7,10,41,40,1,31
Foggia,25,8,7,10,39,45,-6,31
Novara,25,8,6,11,29,31,-2,30
US Avellino,25,7,9,9,34,37,-3,30
Salernitana,25,6,12,7,35,39,-4,30
Cesena,25,6,10,9,38,46,-8,28
Brescia,25,6,9,10,23,29,-6,27
Virtus Entella,25,6,9,10,30,37,-7,27
Pro VercelliV,25,6,7,12,31,43,-12,25
Ascoli,25,5,8,12,23,38,-15,23
TernanaT,25,3,13,9,38,47,-9,22
