team,GP,W,D,L,F,A,GD,P
Numancia,42,22,11,9,59,38,21,77
Málaga,42,20,12,10,58,42,16,72
Sporting Gijón,42,20,12,10,61,40,21,72
Real Sociedad,42,18,14,10,55,39,16,68
CastellonCastellon,42,16,13,13,42,37,5,61
Hercules,42,14,16,12,66,55,11,58
U.D. SalamancaSalamanca,42,13,18,11,52,44,8,57
Las Palmas,42,15,12,15,51,55,-4,57
Sevilla Atletico,42,14,14,14,43,48,-5,56
Elche,42,14,12,16,44,50,-6,54
Tenerife,42,12,17,13,51,57,-6,53
Albacete,42,13,13,16,37,40,-3,52
Eibar,42,14,10,18,42,51,-9,52
Gimnastic de Tarragona,42,12,16,14,49,51,-2,52
Xerez,42,12,16,14,47,56,-9,52
Celta Vigo,42,13,13,16,56,55,1,52
Alavés,42,12,15,15,41,47,-6,51
Cordoba,42,11,17,14,50,56,-6,50
Racing Ferrol,42,12,14,16,46,51,-5,50
Cádiz,42,12,13,17,40,47,-7,49
Granada,42,10,15,17,45,59,-14,45
Club Polideportivo EjidoPoli Ejido,42,11,11,20,37,54,-17,44
