team,GP,W,D,L,F,A,GD,P
Metz,38,22,10,6,54,22,32,76
Caen,38,19,14,5,65,40,25,71
StrasbourgS,38,19,13,6,47,33,14,70
SC Amiens,38,21,6,11,57,42,15,69
Grenoble,38,15,14,9,51,39,12,59
Le Havre AC,38,15,11,12,52,38,14,56
ChateaurouxC,38,15,9,14,42,44,-2,54
Dijon FCO,38,14,12,12,44,47,-3,54
Bastia,38,14,11,13,52,49,3,53
FC GueugnonFC Gueugnon,38,13,9,16,47,52,-5,48
Stade de Reims,38,12,11,15,43,46,-3,47
AC Ajaccio,38,12,11,15,44,50,-6,47
Guingamp,38,11,13,14,45,44,1,46
Brest,38,10,15,13,40,40,0,45
MontpellierM,38,11,11,16,41,48,-7,44
Niort,38,10,14,14,36,44,-8,44
LibourneLibourne,38,12,8,18,43,52,-9,44
FC Istres,38,8,11,19,35,63,-28,35
ToursT,38,6,8,24,30,58,-28,26
