team,GP,W,D,L,F,A,GD,P
Bayern Munich,34,28,4,2,80,17,63,88
Borussia Dortmund,34,24,6,4,82,34,48,78
Bayer Leverkusen,34,18,6,10,56,40,16,60
Borussia Monchengladbach,34,17,4,13,67,50,17,55
Schalke ,34,15,7,12,51,49,2,52
Mainz,34,14,8,12,46,42,4,50
Hertha Berlin,34,14,8,12,42,42,0,50
VfL Wolfsburg,34,12,9,13,47,49,-2,45
FC Cologne,34,10,13,11,38,42,-4,43
Hamburg SV,34,11,8,15,40,46,-6,41
FC Ingolstadt ,34,10,10,14,33,42,-9,40
FC Augsburg,34,9,11,14,42,52,-10,38
Werder Bremen,34,10,8,16,50,65,-15,38
SV Darmstadt ,34,9,11,14,38,53,-15,38
TSG Hoffenheim,34,9,10,15,39,54,-15,37
Eintracht Frankfurt,34,9,9,16,34,52,-18,36
VfB Stuttgart,34,9,6,19,50,75,-25,33
Hannover ,34,7,4,23,31,62,-31,25
