team,GP,W,D,L,F,A,GD,P
SPALS,42,22,12,8,66,39,27,78
Hellas Verona,42,20,14,8,64,40,24,74
Frosinone,42,21,11,10,57,42,15,74
Perugia,42,15,20,7,54,40,14,65
Benevento,42,18,12,12,56,42,14,65
CittadellaC,42,19,6,17,60,54,6,63
Carpi,42,16,14,12,41,40,1,62
SpeziaS,42,15,15,12,38,34,4,60
Novara,42,15,11,16,48,50,-2,56
Salernitana,42,13,15,14,44,44,0,54
Virtus Entella,42,13,15,14,54,51,3,54
Bari,42,13,14,15,39,44,-5,53
Cesena,42,12,17,13,51,48,3,53
US Avellino,42,13,13,16,40,55,-15,50
Brescia,42,11,17,14,49,58,-9,50
Ascoli,42,10,19,13,44,49,-5,49
Pro VercelliV,42,10,19,13,35,45,-10,49
Ternana,42,13,10,19,42,53,-11,49
TrapaniT,42,10,14,18,45,55,-10,44
Vicenza,42,9,14,19,33,52,-19,41
PisaP,42,6,21,15,23,36,-13,35
Latina,42,6,21,15,38,50,-12,32
