team,GP,W,D,L,F,A,GD,P
Barcelona,38,25,9,4,73,29,44,84
Real Madrid,38,25,5,8,71,32,39,80
Villarreal,38,18,11,9,69,37,32,65
Real Betis,38,16,14,8,62,50,12,62
Espanyol,38,17,10,11,54,46,8,61
Sevilla FC,38,17,9,12,44,41,3,60
Valencia,38,14,16,8,54,39,15,58
Deportivo La Coruña,38,12,15,11,46,50,-4,51
Athletic Bilbao,38,14,9,15,59,54,5,51
Málaga,38,15,6,17,40,48,-8,51
Atletico Madrid,38,13,11,14,40,34,6,50
Real Zaragoza,38,14,8,16,52,57,-5,50
Getafe,38,12,11,15,38,46,-8,47
Real Sociedad,38,13,8,17,47,56,-9,47
Osasuna,38,12,10,16,46,65,-19,46
Racing Santander,38,12,8,18,41,58,-17,44
Mallorca,38,10,9,19,42,63,-21,39
Levante,38,9,10,19,39,58,-19,37
Numancia,38,6,11,21,30,61,-31,29
Albacete,38,6,10,22,33,56,-23,28
