Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,14/08/98,Duisburg,Eintracht Frankfurt,2,1,H,1,1,D,,,,,,,,,,,
D1,14/08/98,VfB Stuttgart,Borussia Dortmund,2,1,H,2,1,H,,,,,,,,,,,
D1,15/08/98,VfL Bochum,SC Freiburg,1,2,A,0,0,D,,,,,,,,,,,
D1,15/08/98,Bayer Leverkusen,Hansa Rostock,3,1,H,1,1,D,,,,,,,,,,,
D1,15/08/98,Borussia Monchengladbach,Schalke 04,3,0,H,2,0,H,,,,,,,,,,,
D1,15/08/98,TSV Munich 1860,Kaiserslautern,1,2,A,1,1,D,,,,,,,,,,,
D1,15/08/98,Nurnberg,Hamburg SV,1,1,D,0,0,D,,,,,,,,,,,
D1,15/08/98,VfL Wolfsburg,Bayern Munich,0,1,A,0,0,D,,,,,,,,,,,
D1,16/08/98,Hertha Berlin,Werder Bremen,1,0,H,0,0,D,,,,,,,,,,,
D1,21/08/98,Hansa Rostock,VfL Wolfsburg,3,3,D,2,2,D,,,,,,,,,,,
D1,21/08/98,Werder Bremen,Nurnberg,2,3,A,2,2,D,,,,,,,,,,,
D1,22/08/98,Bayern Munich,Duisburg,3,1,H,1,1,D,,,,,,,,,,,
D1,22/08/98,Borussia Dortmund,Hertha Berlin,3,0,H,1,0,H,,,,,,,,,,,
D1,22/08/98,Eintracht Frankfurt,TSV Munich 1860,2,3,A,1,1,D,,,,,,,,,,,
D1,22/08/98,SC Freiburg,Bayer Leverkusen,1,1,D,0,0,D,,,,,,,,,,,
D1,22/08/98,Kaiserslautern,Borussia Monchengladbach,2,1,H,1,0,H,,,,,,,,,,,
D1,22/08/98,Schalke 04,VfB Stuttgart,1,0,H,0,0,D,,,,,,,,,,,
D1,23/08/98,Hamburg SV,VfL Bochum,1,0,H,1,0,H,,,,,,,,,,,
D1,08/09/98,VfL Bochum,Werder Bremen,2,0,H,1,0,H,,,,,,,,,,,
D1,08/09/98,Duisburg,TSV Munich 1860,1,1,D,1,0,H,,,,,,,,,,,
D1,08/09/98,Borussia Monchengladbach,Eintracht Frankfurt,1,1,D,0,0,D,,,,,,,,,,,
D1,08/09/98,VfB Stuttgart,Kaiserslautern,4,0,H,1,0,H,,,,,,,,,,,
D1,08/09/98,VfL Wolfsburg,SC Freiburg,1,1,D,0,1,A,,,,,,,,,,,
D1,09/09/98,Bayern Munich,Hansa Rostock,6,1,H,0,0,D,,,,,,,,,,,
D1,09/09/98,Hertha Berlin,Schalke 04,2,0,H,0,0,D,,,,,,,,,,,
D1,09/09/98,Bayer Leverkusen,Hamburg SV,1,2,A,0,0,D,,,,,,,,,,,
D1,09/09/98,Nurnberg,Borussia Dortmund,0,0,D,0,0,D,,,,,,,,,,,
D1,11/09/98,Eintracht Frankfurt,VfB Stuttgart,1,1,D,0,0,D,,,,,,,,,,,
D1,11/09/98,TSV Munich 1860,Borussia Monchengladbach,3,1,H,2,0,H,,,,,,,,,,,
D1,12/09/98,SC Freiburg,Bayern Munich,0,2,A,0,2,A,,,,,,,,,,,
D1,12/09/98,Hamburg SV,VfL Wolfsburg,1,1,D,1,0,H,,,,,,,,,,,
D1,12/09/98,Hansa Rostock,Duisburg,3,0,H,0,0,D,,,,,,,,,,,
D1,12/09/98,Kaiserslautern,Hertha Berlin,4,3,H,1,2,A,,,,,,,,,,,
D1,12/09/98,Schalke 04,Nurnberg,2,2,D,2,0,H,,,,,,,,,,,
D1,12/09/98,Werder Bremen,Bayer Leverkusen,2,2,D,0,1,A,,,,,,,,,,,
