Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
SP1,31/08/02,Racing Santander,Real Valladolid,0,1,A,0,0,D,1.909,3.25,3.4,2.05,3.2,3.4,2.1,3,3.1,2.1,3.2,3,2,3.25,3.25,2,3.2,3.4,2,3.1,3.3,1.75,1.85,,
SP1,01/09/02,Barcelona,Atletico Madrid,2,2,D,1,1,D,1.5,3.4,6,1.5,3.65,6.5,1.55,3.5,4.8,1.571,3.25,5.5,1.5,3.5,6,1.571,3.3,6,1.53,3.4,5.5,1.7,1.9,,
SP1,01/09/02,Deportivo La Coruña,Real Betis,2,4,A,1,3,A,1.5,3.4,6,1.46,3.65,7.5,1.5,3.7,5,1.5,3.4,6,1.5,3.5,6,1.5,3.5,6.5,1.53,3.4,5.5,1.9,1.7,,
SP1,01/09/02,Mallorca,Valencia,0,2,A,0,1,A,2.875,3,2.25,2.8,3.15,2.34,2.5,3,2.5,2.875,3,2.25,2.75,3,2.38,2.875,3,2.375,2.62,3.1,2.37,2.05,1.6,,
SP1,01/09/02,Recreativo Huelva,Málaga,2,3,A,2,1,H,2.5,3.1,2.5,2.45,3.2,2.6,2.3,3,2.7,2.625,2.875,2.5,2.5,3,2.6,2.5,3.1,2.6,2.3,3.1,2.75,1.9,1.7,,
SP1,01/09/02,Sevilla FC,Celta Vigo,0,1,A,0,1,A,2.375,3.1,2.625,2.3,3.2,2.83,2.4,3,2.6,2.25,3,2.875,2.25,3.1,2.8,2.3,3.1,2.875,2.25,3.1,2.8,1.85,1.75,,
SP1,01/09/02,Real Sociedad,Athletic Bilbao,4,2,H,2,1,H,2.2,3,3,2.22,3.25,2.92,2.1,3,3.1,2.1,3.2,3,2.25,3,3,2.25,3.1,3,2.25,3.1,2.8,1.75,1.85,,
SP1,01/09/02,Rayo Vallecano,Alavés,2,2,D,1,1,D,2.2,3,3,2.2,3.2,2.95,2.3,3,2.7,2.1,3.2,3,2.25,3.1,2.8,2.3,3.1,2.875,2.2,3.1,2.87,2.05,1.6,,
SP1,01/09/02,Villarreal,Osasuna,2,2,D,2,0,H,1.727,3.2,4.333,1.75,3.25,4.42,1.65,3.3,4.4,1.667,3.25,4.5,1.8,3.2,4,1.8,3.2,4.2,1.66,3.3,4.5,,,,
SP1,02/09/02,Real Madrid,Espanyol,2,0,H,1,0,H,1.25,4.5,10,1.25,4.81,10.5,1.2,5,10,1.25,4.5,10,,,,1.286,4.333,10,1.25,4.5,10,1.6,2.1,,
SP1,14/09/02,Athletic Bilbao,Barcelona,0,2,A,0,2,A,3,3,2.2,3,3.15,2.43,3.1,3,2.1,2.8,3.2,2.2,2.8,3.2,2.25,2.9,3.2,2.25,2.75,3.1,2.3,1.65,1.95,,
SP1,14/09/02,Málaga,Rayo Vallecano,2,1,H,0,1,A,1.727,3.2,4.333,1.7,3.35,4.6,1.7,3.2,4.2,1.667,3.25,4.5,1.67,3.2,5,1.7,3.2,5,1.61,3.3,5,1.8,1.8,,
SP1,14/09/02,Osasuna,Deportivo La Coruña,1,2,A,1,0,H,2.875,3,2.25,2.92,3.21,2.4,3.1,3,2.1,2.8,3.2,2.2,2.88,3.2,2.2,3,3.2,2.2,2.8,3.1,2.25,1.8,1.85,,
SP1,14/09/02,Valencia,Recreativo Huelva,3,0,H,1,0,H,1.25,4.5,10,1.31,4.65,10,1.25,4.5,9,1.25,4.5,10,1.29,4.5,8.5,1.286,4.5,10,1.28,4.5,8,1.65,1.95,,
SP1,15/09/02,Alavés,Racing Santander,0,1,A,0,1,A,1.667,3.25,4.5,1.73,3.35,4.85,1.65,3.3,4.4,1.615,3.25,5,1.62,3.4,5,1.667,3.3,5,1.66,3.3,4.5,1.9,1.7,,
SP1,15/09/02,Atletico Madrid,Sevilla FC,1,1,D,0,1,A,1.615,3.25,5,1.67,3.35,4.85,1.75,3.2,4,1.667,3.25,4.5,1.62,3.4,5,1.615,3.4,5,1.61,3.3,5,1.7,1.9,,
SP1,15/09/02,Celta Vigo,Mallorca,3,1,H,2,0,H,1.571,3.5,5,1.57,3.5,5.6,1.55,3.5,4.8,1.571,3.25,5.5,1.57,3.4,5.5,1.6,3.4,5.5,1.53,3.4,5.5,1.8,1.85,,
