"fte","xpert"
"Accrington Stanley","Accrington"
"AFC Bournemouth","Bournemouth"
"AFC Wimbledon","AFC Wimbledon"
"Arsenal","Arsenal"
"Aston Villa","Aston Villa"
"Barnsley","Barnsley"
"Birmingham","Birmingham"
"Blackburn","Blackburn"
"Blackpool","Blackpool"
"Bolton","Bolton"
"Bradford City","Bradford"
"Brentford","Brentford"
"Brighton and Hove Albion","Brighton"
"Bristol City","Bristol City"
"Bristol Rovers","Bristol Rvs"
"Burnley","Burnley"
"Burton Albion","Burton"
"Bury","Bury"
"Cambridge United","Cambridge"
"Cardiff City","Cardiff"
"Carlisle United","Carlisle"
"Charlton Athletic","Charlton"
"Chelsea","Chelsea"
"Cheltenham Town","Cheltenham"
"Colchester United","Colchester"
"Coventry City","Coventry"
"Crawley Town","Crawley Town"
"Crewe Alexandra","Crewe"
"Crystal Palace","Crystal Palace"
"Derby County","Derby"
"Doncaster Rovers","Doncaster"
"Everton","Everton"
"Exeter City","Exeter"
"Fleetwood Town","Fleetwood Town"
"Forest Green Rovers","Forest Green"
"Fulham","Fulham"
"Gillingham","Gillingham"
"Grimsby Town","Grimsby"
"Huddersfield Town","Huddersfield"
"Hull City","Hull"
"Ipswich Town","Ipswich"
"Leeds United","Leeds"
"Leicester City","Leicester"
"Lincoln City","Lincoln"
"Liverpool","Liverpool"
"Luton Town","Luton"
"Macclesfield","Macclesfield"
"Manchester City","Man City"
"Manchester United","Man United"
"Mansfield Town","Mansfield"
"Middlesbrough","Middlesbrough"
"Millwall","Millwall"
"Milton Keynes Dons","Milton Keynes Dons"
"Morecambe","Morecambe"
"Newcastle","Newcastle"
"Newport County","Newport County"
"Northampton Town","Northampton"
"Norwich City","Norwich"
"Nottingham Forest","Nott'm Forest"
"Notts County","Notts County"
"Oldham Athletic","Oldham"
"Oxford United","Oxford"
"Peterborough United","Peterboro"
"Plymouth Argyle","Plymouth"
"Port Vale","Port Vale"
"Portsmouth","Portsmouth"
"Preston North End","Preston"
"Queens Park Rangers","QPR"
"Reading","Reading"
"Rochdale","Rochdale"
"Rotherham United","Rotherham"
"Scunthorpe","Scunthorpe"
"Sheffield United","Sheffield United"
"Sheffield Wednesday","Sheffield Weds"
"Shrewsbury Town","Shrewsbury"
"Southampton","Southampton"
"Southend United","Southend"
"Stevenage","Stevenage"
"Stoke City","Stoke"
"Sunderland","Sunderland"
"Swansea City","Swansea"
"Swindon Town","Swindon"
"Tottenham Hotspur","Tottenham"
"Tranmere Rovers","Tranmere"
"Walsall","Walsall"
"Watford","Watford"
"West Bromwich Albion","West Brom"
"West Ham United","West Ham"
"Wigan","Wigan"
"Wolverhampton","Wolves"
"Wycombe Wanderers","Wycombe"
"Yeovil Town","Yeovil"
