"fte","xpert"
"1. FC Heidenheim 1846","Heidenheim"
"1. FC Kaiserslautern","Kaiserslautern"
"1. FC Magdeburg","Magdeburg"
"1. FC Nürnberg","Nurnberg"
"1. FC Union Berlin","Union Berlin"
"Arminia Bielefeld","Bielefeld"
"Bayer Leverkusen","Leverkusen"
"Bayern Munich","Bayern Munich"
"Borussia Dortmund","Dortmund"
"Borussia Monchengladbach","M'gladbach"
"Dynamo Dresden","Dresden"
"Eintracht Braunschweig","Braunschweig"
"Eintracht Frankfurt","Ein Frankfurt"
"Erzgebirge Aue","Erzgebirge Aue"
"FC Augsburg","Augsburg"
"FC Cologne","FC Koln"
"FC Ingolstadt 04","Ingolstadt"
"FC St. Pauli","St Pauli"
"Fortuna Düsseldorf","Fortuna Dusseldorf"
"Hamburg SV","Hamburg"
"Hannover 96","Hannover"
"Hertha Berlin","Hertha"
"Holstein Kiel","Holstein Kiel"
"Jahn Regensburg","Regensburg"
"Mainz","Mainz"
"MSV Duisburg","Duisburg"
"RB Leipzig","RB Leipzig"
"SC Freiburg","Freiburg"
"SC Paderborn","Paderborn"
"Schalke 04","Schalke 04"
"SpVgg Greuther Fürth","Greuther Furth"
"SV Darmstadt 98","Darmstadt"
"SV Sandhausen","Sandhausen"
"TSG Hoffenheim","Hoffenheim"
"VfB Stuttgart","Stuttgart"
"VfL Bochum","Bochum"
"VfL Wolfsburg","Wolfsburg"
"Werder Bremen","Werder Bremen"
