"fte","xpert"
"AC Milan","Milan"
"AS Roma","Roma"
"Ascoli","Ascoli"
"Atalanta","Atalanta"
"Avellino","Avellino"
"Bari","Bari"
"Benevento","Benevento"
"Bologna","Bologna"
"Brescia","Brescia"
"Cagliari","Cagliari"
"Carpi","Carpi"
"Cesena","Cesena"
"Chievo Verona","Chievo"
"Cittadella","Cittadella"
"Cosenza","Cosenza"
"Cremonese","Cremonese"
"Crotone","Crotone"
"Empoli","Empoli"
"F.B.C Unione Venezia","Venezia"
"Fiorentina","Fiorentina"
"Foggia","Foggia"
"Frosinone","Frosinone"
"Genoa","Genoa"
"Internazionale","Inter"
"Juventus","Juventus"
"Lazio","Lazio"
"Lecce","Lecce"
"Livorno","Livorno"
"Napoli","Napoli"
"Novara","Novara"
"Padova","Padova"
"Palermo","Palermo"
"Parma","Parma"
"Perugia","Perugia"
"Pro Vercelli","Pro Vercelli"
"Salernitana","Salernitana"
"Sampdoria","Sampdoria"
"Sassuolo","Sassuolo"
"Spal","Spal"
"Spezia","Spezia"
"Ternana","Ternana"
"Torino","Torino"
"Udinese","Udinese"
"US Pescara","Pescara"
"Verona","Verona"
"Virtus Entella","Virtus Entella"
