"fte","xpert"
"AD Alcorcon","Alcorcon"
"Alavés","Alaves"
"Albacete","Albacete"
"Almeria","Almeria"
"Athletic Bilbao","Ath Bilbao"
"Atletico Madrid","Ath Madrid"
"Barcelona","Barcelona"
"Cadiz","Cadiz"
"Celta Vigo","Celta"
"Cordoba","Cordoba"
"Cultural Leonesa","Leonesa"
"Deportivo La Coruña","La Coruna"
"Eibar","Eibar"
"Elche","Elche"
"Espanyol","Espanol"
"Extremadura UD","Extremadura UD"
"FC Barcelona II","Barcelona B"
"Getafe","Getafe"
"Gimnástic Tarragona","Gimnastic"
"Girona FC","Girona"
"Granada","Granada"
"La Hoya Lorca","Lorca"
"Las Palmas","Las Palmas"
"Leganes","Leganes"
"Levante","Levante"
"Lugo","Lugo"
"Málaga","Malaga"
"Mallorca","Mallorca"
"Numancia","Numancia"
"Osasuna","Osasuna"
"Rayo Majadahonda","Rayo Majadahonda"
"Rayo Vallecano","Vallecano"
"Real Betis","Betis"
"Real Madrid","Real Madrid"
"Real Oviedo","Oviedo"
"Real Sociedad","Sociedad"
"Real Valladolid","Valladolid"
"Real Zaragoza","Zaragoza"
"Reus Deportiu","Reus Deportiu"
"SD Huesca","Huesca"
"Sevilla Atletico","Sevilla B"
"Sevilla FC","Sevilla"
"Sporting Gijón","Sp Gijon"
"Tenerife","Tenerife"
"Valencia","Valencia"
"Villarreal","Villarreal"
