Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,Brighton & Hove Albion,Mansfield,6,0,H,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,Carlisle,Leyton Orient,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,Cheltenham,Rochdale,0,2,A,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,Chester,Barnet,0,2,A,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,Exeter,Hull City,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,Halifax,Darlington,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,Lincoln,Rotherham,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,Macclesfield,Northampton,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,Peterboro,Hartlepool,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,Shrewsbury,Torquay,1,2,A,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,Southend,Plymouth,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,07/08/99,York,Swansea City,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Barnet,Exeter,2,2,D,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Darlington,Macclesfield,3,0,H,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Hartlepool,Halifax,0,2,A,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Hull City,Lincoln,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Leyton Orient,Brighton & Hove Albion,1,2,A,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Mansfield,Cheltenham,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Northampton,Peterboro,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Plymouth,Shrewsbury,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Rochdale,Southend,2,0,H,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Rotherham,Chester,4,0,H,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Swansea City,Carlisle,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,14/08/99,Torquay,York,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,18/08/99,Chester,Northampton,0,2,A,,,,,,,,,,,,,,,,,,,,,
E3,21/08/99,Brighton & Hove Albion,Torquay,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,21/08/99,Carlisle,Hartlepool,0,3,A,,,,,,,,,,,,,,,,,,,,,
E3,21/08/99,Cheltenham,Hull City,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,21/08/99,Exeter,Rotherham,3,1,H,,,,,,,,,,,,,,,,,,,,,
E3,21/08/99,Halifax,Plymouth,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,21/08/99,Lincoln,Barnet,0,0,D,,,,,,,,,,,,,,,,,,,,,
E3,21/08/99,Macclesfield,Swansea City,1,2,A,,,,,,,,,,,,,,,,,,,,,
E3,21/08/99,Peterboro,Leyton Orient,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,21/08/99,Shrewsbury,Darlington,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,21/08/99,Southend,Mansfield,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,21/08/99,York,Rochdale,0,3,A,,,,,,,,,,,,,,,,,,,,,
E3,27/08/99,Northampton,Lincoln,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,28/08/99,Barnet,York,6,3,H,,,,,,,,,,,,,,,,,,,,,
E3,28/08/99,Darlington,Brighton & Hove Albion,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,28/08/99,Hartlepool,Cheltenham,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,28/08/99,Hull City,Macclesfield,2,3,A,,,,,,,,,,,,,,,,,,,,,
E3,28/08/99,Leyton Orient,Halifax,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,28/08/99,Mansfield,Carlisle,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,28/08/99,Plymouth,Peterboro,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,28/08/99,Rochdale,Exeter,0,2,A,,,,,,,,,,,,,,,,,,,,,
E3,28/08/99,Rotherham,Shrewsbury,4,0,H,,,,,,,,,,,,,,,,,,,,,
E3,28/08/99,Swansea City,Southend,3,1,H,,,,,,,,,,,,,,,,,,,,,
E3,28/08/99,Torquay,Chester,2,2,D,,,,,,,,,,,,,,,,,,,,,
E3,30/08/99,Carlisle,Plymouth,4,2,H,,,,,,,,,,,,,,,,,,,,,
E3,30/08/99,Cheltenham,Barnet,1,2,A,,,,,,,,,,,,,,,,,,,,,
E3,30/08/99,Chester,Rochdale,0,2,A,,,,,,,,,,,,,,,,,,,,,
E3,30/08/99,Exeter,Mansfield,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,30/08/99,Lincoln,Swansea City,0,1,A,,,,,,,,,,,,,,,,,,,,,
