Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,19/08/94,Bayer Leverkusen,Kaiserslautern,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,19/08/94,Schalke 04,Borussia Monchengladbach,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,19/08/94,VfB Stuttgart,Hamburg SV,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,20/08/94,Bayern Munich,VfL Bochum,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,20/08/94,Borussia Dortmund,TSV Munich 1860,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,20/08/94,Dresden,Werder Bremen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,20/08/94,Eintracht Frankfurt,FC Cologne,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,20/08/94,Karlsruher SC,SC Freiburg,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,20/08/94,Uerdingen,MSV Duisburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,23/08/94,VfL Bochum,Dresden,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,23/08/94,FC Cologne,Borussia Dortmund,1,6,A,,,,,,,,,,,,,,,,,,,,,
D1,23/08/94,SC Freiburg,Bayern Munich,5,1,H,,,,,,,,,,,,,,,,,,,,,
D1,23/08/94,Kaiserslautern,Eintracht Frankfurt,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,23/08/94,TSV Munich 1860,VfB Stuttgart,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,24/08/94,MSV Duisburg,Schalke 04,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,24/08/94,Hamburg SV,Uerdingen,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,24/08/94,Borussia Monchengladbach,Karlsruher SC,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,24/08/94,Werder Bremen,Bayer Leverkusen,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,26/08/94,Borussia Dortmund,Kaiserslautern,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,26/08/94,Dresden,SC Freiburg,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,27/08/94,Bayern Munich,Borussia Monchengladbach,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,27/08/94,Karlsruher SC,MSV Duisburg,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,27/08/94,Schalke 04,Hamburg SV,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,27/08/94,VfB Stuttgart,FC Cologne,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,27/08/94,Uerdingen,TSV Munich 1860,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,27/08/94,Werder Bremen,VfL Bochum,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,28/08/94,Bayer Leverkusen,Eintracht Frankfurt,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,02/09/94,MSV Duisburg,Bayern Munich,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,02/09/94,SC Freiburg,Werder Bremen,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,02/09/94,Borussia Monchengladbach,Dresden,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,03/09/94,VfL Bochum,Bayer Leverkusen,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,03/09/94,Eintracht Frankfurt,Borussia Dortmund,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,03/09/94,FC Cologne,Uerdingen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,03/09/94,Hamburg SV,Karlsruher SC,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,03/09/94,Kaiserslautern,VfB Stuttgart,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,03/09/94,TSV Munich 1860,Schalke 04,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,17/09/94,Bayern Munich,Hamburg SV,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,17/09/94,VfL Bochum,SC Freiburg,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,17/09/94,Dresden,MSV Duisburg,4,2,H,,,,,,,,,,,,,,,,,,,,,
D1,17/09/94,Karlsruher SC,TSV Munich 1860,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,17/09/94,Bayer Leverkusen,Borussia Dortmund,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,17/09/94,Schalke 04,FC Cologne,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,17/09/94,VfB Stuttgart,Eintracht Frankfurt,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,17/09/94,Uerdingen,Kaiserslautern,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,17/09/94,Werder Bremen,Borussia Monchengladbach,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,21/09/94,TSV Munich 1860,Bayern Munich,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,23/09/94,Eintracht Frankfurt,Uerdingen,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,23/09/94,FC Cologne,Karlsruher SC,3,4,A,,,,,,,,,,,,,,,,,,,,,
D1,24/09/94,Borussia Dortmund,VfB Stuttgart,5,0,H,,,,,,,,,,,,,,,,,,,,,
D1,24/09/94,MSV Duisburg,Werder Bremen,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,24/09/94,SC Freiburg,Bayer Leverkusen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,24/09/94,Hamburg SV,Dresden,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,24/09/94,Kaiserslautern,Schalke 04,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,24/09/94,Borussia Monchengladbach,VfL Bochum,7,1,H,,,,,,,,,,,,,,,,,,,,,
D1,30/09/94,VfL Bochum,MSV Duisburg,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,30/09/94,Dresden,TSV Munich 1860,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,01/10/94,Bayern Munich,FC Cologne,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,01/10/94,Karlsruher SC,Kaiserslautern,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,01/10/94,Bayer Leverkusen,VfB Stuttgart,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,01/10/94,Schalke 04,Eintracht Frankfurt,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,01/10/94,Uerdingen,Borussia Dortmund,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,02/10/94,SC Freiburg,Borussia Monchengladbach,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,05/10/94,Kaiserslautern,Bayern Munich,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,06/10/94,Werder Bremen,Hamburg SV,1,4,A,,,,,,,,,,,,,,,,,,,,,
D1,08/10/94,Borussia Dortmund,Schalke 04,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,08/10/94,MSV Duisburg,SC Freiburg,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,08/10/94,Eintracht Frankfurt,Karlsruher SC,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,08/10/94,FC Cologne,Dresden,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,08/10/94,Hamburg SV,VfL Bochum,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,08/10/94,Borussia Monchengladbach,Bayer Leverkusen,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,08/10/94,TSV Munich 1860,Werder Bremen,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,08/10/94,VfB Stuttgart,Uerdingen,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,15/10/94,Bayern Munich,Eintracht Frankfurt,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,15/10/94,VfL Bochum,TSV Munich 1860,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,15/10/94,Dresden,Kaiserslautern,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,15/10/94,SC Freiburg,Hamburg SV,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,15/10/94,Karlsruher SC,Borussia Dortmund,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,15/10/94,Bayer Leverkusen,Uerdingen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,15/10/94,Borussia Monchengladbach,MSV Duisburg,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,15/10/94,Schalke 04,VfB Stuttgart,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,15/10/94,Werder Bremen,FC Cologne,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,22/10/94,Borussia Dortmund,Bayern Munich,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/10/94,MSV Duisburg,Bayer Leverkusen,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,22/10/94,Eintracht Frankfurt,Dresden,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/10/94,FC Cologne,VfL Bochum,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,22/10/94,Hamburg SV,Borussia Monchengladbach,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,22/10/94,TSV Munich 1860,SC Freiburg,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/10/94,VfB Stuttgart,Karlsruher SC,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,22/10/94,Uerdingen,Schalke 04,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,23/10/94,Kaiserslautern,Werder Bremen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,28/10/94,VfL Bochum,Kaiserslautern,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,29/10/94,Bayern Munich,VfB Stuttgart,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,29/10/94,Dresden,Borussia Dortmund,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,29/10/94,SC Freiburg,FC Cologne,4,2,H,,,,,,,,,,,,,,,,,,,,,
D1,29/10/94,Karlsruher SC,Uerdingen,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,29/10/94,Bayer Leverkusen,Schalke 04,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,29/10/94,Borussia Monchengladbach,TSV Munich 1860,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,29/10/94,Werder Bremen,Eintracht Frankfurt,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,30/10/94,MSV Duisburg,Hamburg SV,0,5,A,,,,,,,,,,,,,,,,,,,,,
D1,04/11/94,Schalke 04,Karlsruher SC,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,04/11/94,VfB Stuttgart,Dresden,4,2,H,,,,,,,,,,,,,,,,,,,,,
D1,05/11/94,Eintracht Frankfurt,VfL Bochum,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,05/11/94,FC Cologne,Borussia Monchengladbach,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,05/11/94,Hamburg SV,Bayer Leverkusen,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,05/11/94,Kaiserslautern,SC Freiburg,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,05/11/94,TSV Munich 1860,MSV Duisburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,05/11/94,Uerdingen,Bayern Munich,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,06/11/94,Borussia Dortmund,Werder Bremen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,11/11/94,VfL Bochum,Borussia Dortmund,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,11/11/94,Borussia Monchengladbach,Kaiserslautern,4,0,H,,,,,,,,,,,,,,,,,,,,,
