Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D2,02/08/96,F Koln,VfL Wolfsburg,2,0,H,1,0,H,,,,,,,,,,,
D2,03/08/96,Essen,VfB Stuttgarter K,0,4,A,0,4,A,,,,,,,,,,,
D2,03/08/96,Hertha Berlin,Mainz,1,0,H,0,0,D,,,,,,,,,,,
D2,03/08/96,Leipzig,Uerdingen,3,1,H,2,0,H,,,,,,,,,,,
D2,03/08/96,Zwickau,Mannheim,2,0,H,1,0,H,,,,,,,,,,,
D2,04/08/96,Gutersloh,CZ Jena,0,0,D,0,0,D,,,,,,,,,,,
D2,04/08/96,Lubeck,Eintracht Frankfurt,1,1,D,0,0,D,,,,,,,,,,,
D2,04/08/96,Oldenburg,Meppen,1,1,D,1,0,H,,,,,,,,,,,
D2,06/08/96,Mainz,Leipzig,2,1,H,0,0,D,,,,,,,,,,,
D2,07/08/96,CZ Jena,Essen,4,0,H,1,0,H,,,,,,,,,,,
D2,07/08/96,Eintracht Frankfurt,Zwickau,2,1,H,1,1,D,,,,,,,,,,,
D2,07/08/96,Mannheim,F Koln,3,3,D,2,1,H,,,,,,,,,,,
D2,07/08/96,Meppen,Lubeck,2,0,H,0,0,D,,,,,,,,,,,
D2,07/08/96,VfB Stuttgarter K,Kaiserslautern,0,2,A,0,1,A,,,,,,,,,,,
D2,07/08/96,Uerdingen,Gutersloh,0,2,A,0,1,A,,,,,,,,,,,
D2,07/08/96,Unterhaching,Oldenburg,1,1,D,1,1,D,,,,,,,,,,,
D2,07/08/96,VfL Wolfsburg,Hertha Berlin,1,1,D,0,1,A,,,,,,,,,,,
D2,16/08/96,F Koln,Hertha Berlin,2,0,H,0,0,D,,,,,,,,,,,
D2,17/08/96,Kaiserslautern,CZ Jena,2,0,H,2,0,H,,,,,,,,,,,
D2,17/08/96,Zwickau,Meppen,1,1,D,1,1,D,,,,,,,,,,,
