team,GP,W,D,L,F,A,GD,P
Montpellier,38,25,7,6,68,34,34,82
Paris Saint-Germain ,38,23,10,5,75,41,34,79
LilleL,38,21,11,6,72,39,33,74
LyonL,38,19,7,12,64,51,13,64
Bordeaux,38,16,13,9,53,41,12,61
Stade Rennes,38,17,9,12,53,44,9,60
Saint-Etienne,38,16,9,13,49,45,4,57
Toulouse,38,15,11,12,37,34,3,56
Evian Thonon Gaillard,38,13,11,14,54,55,-1,50
Marseille,38,12,12,14,45,41,4,48
AS Nancy Lorraine,38,11,12,15,38,48,-10,45
Valenciennes,38,12,7,19,40,50,-10,43
NiceN,38,10,12,16,39,46,-7,42
Sochaux,38,11,9,18,40,60,-20,42
Brest,38,8,17,13,31,38,-7,41
AC Ajaccio,38,9,14,15,40,61,-21,41
Lorient,38,9,12,17,35,49,-14,39
Caen,38,9,11,18,39,59,-20,38
Dijon FCO,38,9,9,20,38,63,-25,36
AJ Auxerre,38,7,13,18,46,57,-11,34
