team,GP,W,D,L,F,A,GD,P
Borussia Dortmund,0,0,0,0,0,0,0,0
Eintracht Frankfurt,0,0,0,0,0,0,0,0
SC Freiburg,0,0,0,0,0,0,0,0
Hertha Berlin,0,0,0,0,0,0,0,0
Bayer Leverkusen,0,0,0,0,0,0,0,0
Bayern Munich,0,0,0,0,0,0,0,0
Schalke ,0,0,0,0,0,0,0,0
VfB Stuttgart,0,0,0,0,0,0,0,0
Werder Bremen,0,0,0,0,0,0,0,0
VfL Wolfsburg,0,0,0,0,0,0,0,0
Borussia Monchengladbach,0,0,0,0,0,0,0,0
Nurnberg,0,0,0,0,0,0,0,0
Hannover ,0,0,0,0,0,0,0,0
Mainz,0,0,0,0,0,0,0,0
FC Augsburg,0,0,0,0,0,0,0,0
TSG Hoffenheim,0,0,0,0,0,0,0,0
Fortuna DüsseldorfF,0,0,0,0,0,0,0,0
RB Leipzig,0,0,0,0,0,0,0,0
