team,GP,W,D,L,F,A,GD,P
US Pescara,9,5,3,1,14,9,5,18
Hellas Verona,9,5,2,2,15,9,6,17
Benevento,8,5,1,2,16,11,5,16
Palermo,8,4,3,1,13,8,5,15
CittadellaC,8,4,2,2,10,5,5,14
Brescia,9,3,5,1,16,12,4,14
Salernitana,8,3,4,1,9,8,1,13
Lecce,9,3,4,2,16,12,4,13
SpeziaS,9,4,1,4,11,12,-1,13
Cremonese,8,2,5,1,9,6,3,11
Crotone,8,3,1,4,11,12,-1,10
Ascoli,8,2,3,3,6,8,-2,9
Perugia,8,2,2,4,8,11,-3,8
Cosenza,9,1,4,4,6,12,-6,7
Padova,9,1,4,4,8,15,-7,7
Venezia FC,8,1,3,4,7,10,-3,6
Carpi,8,1,2,5,7,14,-7,5
Livorno,8,1,2,5,5,12,-7,5
Foggia,9,4,1,4,16,17,-1,5
