team,GP,W,D,L,F,A,GD,P
Málaga,11,8,1,2,14,6,8,25
Granada,11,7,2,2,18,8,10,23
Deportivo La Coruña,11,6,4,1,18,8,10,22
AD Alcorcon,11,6,3,2,13,6,7,21
Las Palmas,11,5,4,2,16,9,7,19
Albacete,11,4,5,2,17,12,5,17
Mallorca,11,4,4,3,13,11,2,16
Real Oviedo,11,4,3,4,13,15,-2,15
Almeria,11,4,2,5,12,10,2,14
Sporting Gijón,11,3,5,3,9,7,2,14
Elche,11,3,5,3,11,13,-2,14
Osasuna,11,3,4,4,11,11,0,13
Numancia,11,3,4,4,10,15,-5,13
Rayo Majadahonda,11,4,1,6,9,15,-6,13
Lugo,11,3,3,5,11,13,-2,12
Tenerife,11,2,6,3,11,14,-3,12
Reus DeportiuR,11,3,3,5,9,13,-4,12
Real Zaragoza,11,2,5,4,12,13,-1,11
Cádiz,11,2,5,4,8,11,-3,11
Extremadura UD,11,2,3,6,13,17,-4,9
Gimnastic de Tarragona,11,2,3,6,8,18,-10,9
Cordoba,11,1,5,5,11,22,-11,8
